STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,,
Santa Cruz,24,,PPE 2024,,,"13,720",,,12,173,116,,"5,124",,"11,287",,"30,432",,
,24,,Apr-2024,,,"13,722",,,11,168,119,,"5,188",,"11,470",,"30,678",,
,24,,P.E. 2024,,,"13,597",,,12,164,133,,"5,320",,"11,533",,"30,759",,
,,,,,,,,,,,,,,,,,,,
Yavapai,57,,PPE 2024,,,"31,650",,,11,"1,302",956,,"86,169",,"48,204",,"168,292",,
,57,,Apr-2024,,,"31,370",,,21,"1,268",976,,"86,072",,"47,491",,"167,198",,
,57,,P.E. 2024,,,"30,958",,,48,"1,238",974,,"86,128",,"47,324",,"166,670",,
,,,,,,,,,,,,,,,,,,,
Yuma,47,,PPE 2024,,,"29,988",,,36,641,671,,"31,551",,"40,880",,"103,767",,
,47,,Apr-2024,,,"29,934",,,41,641,684,,"32,131",,"41,138",,"104,569",,
,47,,P.E. 2024,,,"29,554",,,41,622,666,,"32,914",,"42,528",,"106,325",,
,,,,,,,,,,,,,,,,,,,
Totals:,"1,719",,PPE 2024,,,"1,200,191",,,"2,723","31,959","27,631",,"1,436,757",,"1,396,999",,"4,096,260",,
,"1,719",,Apr-2024,,,"1,192,205",,,"2,796","31,164","27,529",,"1,434,982",,"1,369,644",,"4,058,320",,
,"1,719",,P.E. 2024,,,"1,195,696",,,"3,344","30,934","29,032",,"1,454,966",,"1,395,298",,"4,109,270",,
,,,,,,,,,,,,,,,,,,,
Percentages:,,,PPE 2024,,,29.3,,,0.07,0.78,0.67,,35.07,,34.1,,,,
,,,Apr-2024,,,29.38,,,0.07,0.77,0.68,,35.36,,33.75,,,,
,,,P.E. 2024,,,29.1,,,0.08,0.75,0.71,,35.41,,33.95,,,,
,,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,,
District,,,,Precincts,Democratic,,,Green,,Libertarian,,No Labels,,Republican,,Other,,Total,
,,,,,,,,,,,,,,,,,,,
Congressional District 1,,,,,,,,,,,,,,,,,,,
Maricopa,,,,206,"135,918",,,359,,"3,714",,"3,231",,"190,537",,"160,968",,"494,727",
Total:,,,,206,"135,918",,,359,,"3,714",,"3,231",,"190,537",,"160,968",,"494,727",
,,,,,,,,,,,,,,,,,,,
Congressional District 2,,,,,,,,,,,,,,,,,,,
Apache,,,,44,"26,729",,,19,,238,,203,,"11,176",,"14,027",,"52,392",
Coconino,,,,75,"33,050",,,154,,700,,648,,"22,397",,"27,402",,"84,351",
Gila,,,,39,"7,765",,,21,,207,,148,,"15,968",,"9,000",,"33,109",
Graham,,,,2,"1,191",,,0,,3,,10,,169,,603,,"1,976",
Maricopa,,,,3,561,,,2,,7,,12,,82,,635,,"1,299",
Mohave,,,,2,246,,,1,,5,,4,,102,,354,,712,
Navajo,,,,21,"21,759",,,15,,370,,349,,"25,530",,"18,184",,"66,207",
Pinal,,,,50,"27,772",,,52,,839,,917,,"39,361",,"41,128",,"110,069",
Yavapai,,,,57,"30,958",,,48,,"1,238",,974,,"86,128",,"47,324",,"166,670",
Total:,,,,293,"150,031",,,312,,"3,607",,"3,265",,"200,913",,"158,657",,"516,785",
,,,,,,,,,,,,,,,,,,,
Congressional District 3,,,,,,,,,,,,,,,,,,,
Maricopa,,,,123,"137,062",,,303,,"2,056",,"2,828",,"45,552",,"123,628",,"311,429",
Total:,,,,123,"137,062",,,303,,"2,056",,"2,828",,"45,552",,"123,628",,"311,429",
,,,,,,,,,,,,,,,,,,,
Congressional District 4,,,,,,,,,,,,,,,,,,,
Maricopa,,,,146,"123,025",,,414,,"3,733",,"3,291",,"132,819",,"142,441",,"405,723",
Total:,,,,146,"123,025",,,414,,"3,733",,"3,291",,"132,819",,"142,441",,"405,723",
,,,,,,,,,,,,,,,,,,,
Congressional District 5,,,,,,,,,,,,,,,,,,,
Maricopa,,,,120,"91,144",,,242,,"3,250",,"2,671",,"172,177",,"134,981",,"404,465",
Pinal,,,,30,"19,537",,,61,,994,,831,,"45,123",,"37,332",,"103,878",
Total:,,,,150,"110,681",,,303,,"4,244",,"3,502",,"217,300",,"172,313",,"508,343",
,,,,,,,,,,,,,,,,,,,
Congressional District 6,,,,,,,,,,,,,,,,,,,
Cochise,,,,43,"11,282",,,40,,575,,431,,"27,611",,"21,076",,"61,015",
Graham,,,,21,"3,030",,,10,,114,,71,,"9,804",,"4,522",,"17,551",
Greenlee,,,,6,"1,290",,,2,,51,,34,,"1,750",,"1,425",,"4,552",
Pima,,,,155,"127,564",,,413,,"2,801",,"2,176",,"127,080",,"122,067",,"382,101",
Pinal,,,,25,"13,916",,,20,,307,,353,,"18,303",,"17,565",,"50,464",
Total:,,,,250,"157,082",,,485,,"3,848",,"3,065",,"184,548",,"166,655",,"515,683",
,,,,,,,,,,,,,,,,,,,
Congressional District 7,,,,,,,,,,,,,,,,,,,
Cochise,,,,12,"7,004",,,19,,85,,90,,"3,253",,"6,619",,"17,070",
Maricopa,,,,23,"19,729",,,38,,373,,613,,"10,855",,"21,055",,"52,663",
Pima,,,,123,"106,734",,,452,,"1,797",,"1,705",,"48,437",,"87,088",,"246,213",
Pinal,,,,4,848,,,1,,28,,36,,"1,413",,"1,402",,"3,728",
Santa Cruz,,,,24,"13,597",,,12,,164,,133,,"5,320",,"11,533",,"30,759",
Yuma,,,,27,"20,553",,,25,,289,,360,,"11,793",,"25,670",,"58,690",
Total:,,,,213,"168,465",,,547,,"2,736",,"2,937",,"81,071",,"153,367",,"409,123",
,,,,,,,,,,,,,,,,,,,
Congressional District 8,,,,,,,,,,,,,,,,,,,
Maricopa,,,,173,"113,180",,,333,,"3,429",,"2,941",,"188,313",,"149,023",,"457,219",
Total:,,,,173,"113,180",,,333,,"3,429",,"2,941",,"188,313",,"149,023",,"457,219",
,,,,,,,,,,,,,,,,,,,
Congressional District 9,,,,,,,,,,,,,,,,,,,
La Paz,,,,11,"2,014",,,9,,65,,128,,"5,468",,"4,249",,"11,933",
Maricopa,,,,112,"71,675",,,187,,"2,275",,"2,777",,"110,892",,"104,278",,"292,084",
Mohave,,,,22,"17,562",,,76,,894,,761,,"76,432",,"42,861",,"138,586",
Yuma,,,,20,"9,001",,,16,,333,,306,,"21,121",,"16,858",,"47,635",
Total:,,,,165,"100,252",,,288,,"3,567",,"3,972",,"213,913",,"168,246",,"490,238",
,,,,,,,,,,,,,,,,,,,
Legislative District 1,,,,,,,,,,,,,,,,,,,
Coconino,,,,1,695,,,1,,14,,9,,578,,615,,"1,912",
Yavapai,,,,54,"30,789",,,48,,"1,232",,967,,"85,112",,"46,938",,"165,086",
Total:,,,,55,"31,484",,,49,,"1,246",,976,,"85,690",,"47,553",,"166,998",
,,,,,,,,,,,,,,,,,,,
Legislative District 2,,,,,,,,,,,,,,,,,,,
Maricopa,,,,48,"34,364",,,120,,"1,213",,"1,004",,"44,748",,"44,317",,"125,766",
Total:,,,,48,"34,364",,,120,,"1,213",,"1,004",,"44,748",,"44,317",,"125,766",
,,,,,,,,,,,,,,,,,,,
Legislative District 3,,,,,,,,,,,,,,,,,,,
Maricopa,,,,58,"34,648",,,77,,"1,111",,811,,"84,620",,"53,232",,"174,499",
Total:,,,,58,"34,648",,,77,,"1,111",,811,,"84,620",,"53,232",,"174,499",
,,,,,,,,,,,,,,,,,,,
Legislative District 4,,,,,,,,,,,,,,,,,,,
Maricopa,,,,70,"44,278",,,110,,"1,241",,"1,116",,"65,123",,"52,224",,"164,092",
Total:,,,,70,"44,278",,,110,,"1,241",,"1,116",,"65,123",,"52,224",,"164,092",
,,,,,,,,,,,,,,,,,,,
Legislative District 5,,,,,,,,,,,,,,,,,,,
Maricopa,,,,54,"51,113",,,175,,985,,"1,004",,"26,368",,"41,067",,"120,712",
Total:,,,,54,"51,113",,,175,,985,,"1,004",,"26,368",,"41,067",,"120,712",
,,,,,,,,,,,,,,,,,,,
Legislative District 6,,,,,,,,,,,,,,,,,,,
Apache,,,,44,"26,729",,,19,,238,,203,,"11,176",,"14,027",,"52,392",
Coconino,,,,49,"23,208",,,100,,415,,366,,"13,048",,"17,437",,"54,574",
Gila,,,,3,"1,977",,,1,,8,,12,,250,,"1,041",,"3,289",
Graham,,,,2,"1,191",,,0,,3,,10,,169,,603,,"1,976",
Mohave,,,,2,246,,,1,,5,,4,,102,,354,,712,
Navajo,,,,11,"17,488",,,6,,132,,143,,"4,631",,"9,530",,"31,930",
Pinal,,,,1,0,,,0,,0,,0,,0,,0,,0,
Total:,,,,112,"70,839",,,127,,801,,738,,"29,376",,"42,992",,"144,873",
,,,,,,,,,,,,,,,,,,,
Legislative District 7,,,,,,,,,,,,,,,,,,,
Coconino,,,,25,"9,147",,,53,,271,,273,,"8,771",,"9,350",,"27,865",
Gila,,,,36,"5,788",,,20,,199,,136,,"15,718",,"7,959",,"29,820",
Navajo,,,,10,"4,271",,,9,,238,,206,,"20,899",,"8,654",,"34,277",
Pinal,,,,27,"12,792",,,29,,471,,372,,"25,519",,"19,614",,"58,797",
Total:,,,,98,"31,998",,,111,,"1,179",,987,,"70,907",,"45,577",,"150,759",
,,,,,,,,,,,,,,,,,,,
Legislative District 8,,,,,,,,,,,,,,,,,,,
Maricopa,,,,57,"37,066",,,142,,"1,073",,"1,160",,"27,865",,"40,770",,"108,076",
Total:,,,,57,"37,066",,,142,,"1,073",,"1,160",,"27,865",,"40,770",,"108,076",
,,,,,,,,,,,,,,,,,,,
Legislative District 9,,,,,,,,,,,,,,,,,,,
Maricopa,,,,39,"31,287",,,122,,"1,064",,882,,"34,462",,"38,971",,"106,788",
Total:,,,,39,"31,287",,,122,,"1,064",,882,,"34,462",,"38,971",,"106,788",
,,,,,,,,,,,,,,,,,,,
Legislative District 10,,,,,,,,,,,,,,,,,,,
Maricopa,,,,43,"29,141",,,99,,"1,038",,799,,"58,654",,"42,944",,"132,675",
Pinal,,,,3,"1,349",,,0,,54,,57,,"2,903",,"2,658",,"7,021",
Total:,,,,46,"30,490",,,99,,"1,092",,856,,"61,557",,"45,602",,"139,696",
,,,,,,,,,,,,,,,,,,,
Legislative District 11,,,,,,,,,,,,,,,,,,,
Maricopa,,,,37,"48,905",,,99,,684,,971,,"16,017",,"42,416",,"109,092",
Total:,,,,37,"48,905",,,99,,684,,971,,"16,017",,"42,416",,"109,092",
,,,,,,,,,,,,,,,,,,,
Legislative District 12,,,,,,,,,,,,,,,,,,,
Maricopa,,,,48,"47,731",,,135,,"1,230",,"1,057",,"43,870",,"49,490",,"143,513",
Total:,,,,48,"47,731",,,135,,"1,230",,"1,057",,"43,870",,"49,490",,"143,513",
,,,,,,,,,,,,,,,,,,,
Legislative District 13,,,,,,,,,,,,,,,,,,,
Maricopa,,,,45,"38,500",,,93,,"1,029",,978,,"50,542",,"48,977",,"140,119",
Total:,,,,45,"38,500",,,93,,"1,029",,978,,"50,542",,"48,977",,"140,119",
,,,,,,,,,,,,,,,,,,,
Legislative District 14,,,,,,,,,,,,,,,,,,,
Maricopa,,,,44,"32,703",,,82,,"1,266",,985,,"64,112",,"49,705",,"148,853",
Total:,,,,44,"32,703",,,82,,"1,266",,985,,"64,112",,"49,705",,"148,853",
,,,,,,,,,,,,,,,,,,,
Legislative District 15,,,,,,,,,,,,,,,,,,,
Maricopa,,,,26,"17,670",,,48,,806,,662,,"43,756",,"29,774",,"92,716",
Pinal,,,,19,"13,495",,,46,,732,,608,,"31,191",,"26,082",,"72,154",
Total:,,,,45,"31,165",,,94,,"1,538",,"1,270",,"74,947",,"55,856",,"164,870",
,,,,,,,,,,,,,,,,,,,
Legislative District 16,,,,,,,,,,,,,,,,,,,
Maricopa,,,,2,554,,,2,,7,,10,,79,,618,,"1,270",
Pima,,,,17,"8,685",,,23,,199,,113,,"7,813",,"7,560",,"24,393",
Pinal,,,,53,"31,091",,,52,,850,,"1,065",,"38,845",,"45,299",,"117,202",
Total:,,,,72,"40,330",,,77,,"1,056",,"1,188",,"46,737",,"53,477",,"142,865",
,,,,,,,,,,,,,,,,,,,
Legislative District 17,,,,,,,,,,,,,,,,,,,
Pima,,,,63,"46,814",,,142,,"1,242",,834,,"62,017",,"52,164",,"163,213",
Pinal,,,,5,"3,215",,,6,,61,,35,,"5,734",,"3,697",,"12,748",
Total:,,,,68,"50,029",,,148,,"1,303",,869,,"67,751",,"55,861",,"175,961",
,,,,,,,,,,,,,,,,,,,
Legislative District 18,,,,,,,,,,,,,,,,,,,
Pima,,,,65,"60,836",,,229,,"1,157",,974,,"42,099",,"48,682",,"153,977",
Total:,,,,65,"60,836",,,229,,"1,157",,974,,"42,099",,"48,682",,"153,977",
,,,,,,,,,,,,,,,,,,,
Legislative District 19,,,,,,,,,,,,,,,,,,,
Cochise,,,,48,"15,762",,,47,,611,,486,,"29,173",,"25,474",,"71,553",
Graham,,,,21,"3,030",,,10,,114,,71,,"9,804",,"4,522",,"17,551",
Greenlee,,,,6,"1,290",,,2,,51,,34,,"1,750",,"1,425",,"4,552",
Pima,,,,17,"13,676",,,31,,291,,208,,"19,937",,"15,411",,"49,554",
Santa Cruz,,,,3,806,,,0,,25,,5,,901,,759,,"2,496",
Total:,,,,95,"34,564",,,90,,"1,092",,804,,"61,565",,"47,591",,"145,706",
,,,,,,,,,,,,,,,,,,,
Legislative District 20,,,,,,,,,,,,,,,,,,,
Pima,,,,56,"57,180",,,261,,802,,864,,"17,849",,"42,293",,"119,249",
Total:,,,,56,"57,180",,,261,,802,,864,,"17,849",,"42,293",,"119,249",
,,,,,,,,,,,,,,,,,,,
Legislative District 21,,,,,,,,,,,,,,,,,,,
Cochise,,,,7,"2,524",,,12,,49,,35,,"1,691",,"2,221",,"6,532",
Pima,,,,42,"36,963",,,153,,737,,710,,"21,259",,"34,669",,"94,491",
Santa Cruz,,,,21,"12,791",,,12,,139,,128,,"4,419",,"10,774",,"28,263",
Total:,,,,70,"52,278",,,177,,925,,873,,"27,369",,"47,664",,"129,286",
,,,,,,,,,,,,,,,,,,,
Legislative District 22,,,,,,,,,,,,,,,,,,,
Maricopa,,,,40,"40,269",,,81,,681,,"1,245",,"19,346",,"42,632",,"104,254",
Total:,,,,40,"40,269",,,81,,681,,"1,245",,"19,346",,"42,632",,"104,254",
,,,,,,,,,,,,,,,,,,,
Legislative District 23,,,,,,,,,,,,,,,,,,,
Maricopa,,,,20,"11,329",,,26,,344,,464,,"13,939",,"15,477",,"41,579",
Pima,,,,18,"10,144",,,26,,170,,178,,"4,543",,"8,376",,"23,437",
Pinal,,,,1,131,,,1,,0,,0,,8,,77,,217,
Yuma,,,,26,"20,181",,,25,,282,,350,,"11,485",,"25,177",,"57,500",
Total:,,,,65,"41,785",,,78,,796,,992,,"29,975",,"49,107",,"122,733",
,,,,,,,,,,,,,,,,,,,
Legislative District 24,,,,,,,,,,,,,,,,,,,
Maricopa,,,,38,"32,801",,,60,,612,,691,,"16,748",,"34,503",,"85,415",
Total:,,,,38,"32,801",,,60,,612,,691,,"16,748",,"34,503",,"85,415",
,,,,,,,,,,,,,,,,,,,
Legislative District 25,,,,,,,,,,,,,,,,,,,
Maricopa,,,,44,"22,522",,,46,,804,,965,,"40,986",,"35,868",,"101,191",
Yuma,,,,21,"9,373",,,16,,340,,316,,"21,429",,"17,351",,"48,825",
Total:,,,,65,"31,895",,,62,,"1,144",,"1,281",,"62,415",,"53,219",,"150,016",
,,,,,,,,,,,,,,,,,,,
Legislative District 26,,,,,,,,,,,,,,,,,,,
Maricopa,,,,34,"31,652",,,69,,546,,604,,"13,884",,"31,126",,"77,881",
Total:,,,,34,"31,652",,,69,,546,,604,,"13,884",,"31,126",,"77,881",
,,,,,,,,,,,,,,,,,,,
Legislative District 27,,,,,,,,,,,,,,,,,,,
Maricopa,,,,51,"34,914",,,108,,"1,131",,"1,029",,"48,944",,"44,947",,"131,073",
Total:,,,,51,"34,914",,,108,,"1,131",,"1,029",,"48,944",,"44,947",,"131,073",
,,,,,,,,,,,,,,,,,,,
Legislative District 28,,,,,,,,,,,,,,,,,,,
Maricopa,,,,59,"34,886",,,71,,927,,705,,"75,909",,"46,066",,"158,564",
Total:,,,,59,"34,886",,,71,,927,,705,,"75,909",,"46,066",,"158,564",
,,,,,,,,,,,,,,,,,,,
Legislative District 29,,,,,,,,,,,,,,,,,,,
Maricopa,,,,47,"35,245",,,113,,997,,"1,194",,"57,974",,"50,343",,"145,866",
Total:,,,,47,"35,245",,,113,,997,,"1,194",,"57,974",,"50,343",,"145,866",
,,,,,,,,,,,,,,,,,,,
Legislative District 30,,,,,,,,,,,,,,,,,,,
La Paz,,,,11,"2,014",,,9,,65,,128,,"5,468",,"4,249",,"11,933",
Maricopa,,,,2,716,,,0,,48,,28,,"3,281",,"1,542",,"5,615",
Mohave,,,,22,"17,562",,,76,,894,,761,,"76,432",,"42,861",,"138,586",
Yavapai,,,,3,169,,,0,,6,,7,,"1,016",,386,,"1,584",
Total:,,,,38,"20,461",,,85,,"1,013",,924,,"86,197",,"49,038",,"157,718",
,,,,,,,,,,,,,,,,,,,
State Total:,,,,1719,"1,195,696",,,"3,344",,"30,934",,"29,032",,"1,454,966",,"1,395,298",,"4,109,270",
Inactive,,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,No Labels,,Republican,,Other,,Total,,
,,,,,,,,,,,,,,,,,,,
Apache,44,,PPE 2024,,,"1,402",,,4,24,5,,918,,"1,090",,"3,443",,
,44,,Apr-2024,,,"1,376",,,4,24,5,,901,,"1,084",,"3,394",,
,44,,P.E. 2024,,,"1,285",,,4,21,5,,835,,"1,029",,"3,179",,
,,,,,,,,,,,,,,,,,,,
Cochise,55,,PPE 2024,,,"2,974",,,23,170,26,,"4,737",,"5,826",,"13,756",,
,55,,Apr-2024,,,"2,938",,,23,171,27,,"4,618",,"5,766",,"13,543",,
,55,,P.E. 2024,,,"2,745",,,23,163,22,,"4,365",,"5,501",,"12,819",,
,,,,,,,,,,,,,,,,,,,
Coconino,75,,PPE 2024,,,"6,736",,,40,243,46,,"3,767",,"7,206",,"18,038",,
,75,,Apr-2024,,,"6,526",,,41,239,46,,"3,659",,"7,087",,"17,598",,
,75,,P.E. 2024,,,"6,959",,,51,277,70,,"3,978",,"7,973",,"19,308",,
,,,,,,,,,,,,,,,,,,,
Gila,39,,PPE 2024,,,782,,,0,34,21,,"1,820",,"1,523",,"4,180",,
,39,,Apr-2024,,,790,,,0,33,18,,"1,842",,"1,489",,"4,172",,
,39,,P.E. 2024,,,910,,,1,42,33,,"2,020",,"1,817",,"4,823",,
,,,,,,,,,,,,,,,,,,,
Graham,23,,PPE 2024,,,579,,,0,37,2,,"1,097",,821,,"2,536",,
,23,,Apr-2024,,,577,,,0,36,1,,"1,076",,810,,"2,500",,
,23,,P.E. 2024,,,664,,,1,42,4,,"1,246",,"1,036",,"2,993",,
,,,,,,,,,,,,,,,,,,,
Greenlee,6,,PPE 2024,,,117,,,1,4,3,,228,,246,,599,,
,6,,Apr-2024,,,118,,,1,4,3,,226,,246,,598,,
,6,,P.E. 2024,,,120,,,2,4,4,,226,,247,,603,,
,,,,,,,,,,,,,,,,,,,
La Paz,11,,PPE 2024,,,413,,,3,13,1,,782,,800,,"2,012",,
,11,,Apr-2024,,,475,,,3,12,2,,890,,797,,"2,179",,
,11,,P.E. 2024,,,477,,,3,12,2,,928,,782,,"2,204",,
,,,,,,,,,,,,,,,,,,,
Maricopa,906,,PPE 2024,,,"148,904",,,603,"5,623","1,359",,"135,785",,"223,242",,"515,516",,
,906,,Apr-2024,,,"156,326",,,655,"6,331","2,163",,"144,373",,"252,984",,"562,832",,
,906,,P.E. 2024,,,"152,329",,,666,"6,186","2,273",,"140,775",,"248,617",,"550,846",,
,,,,,,,,,,,,,,,,,,,
Mohave,24,,PPE 2024,,,"3,615",,,0,200,36,,"11,059",,"9,731",,"24,641",,
,24,,Apr-2024,,,"3,663",,,1,196,35,,"11,153",,"9,691",,"24,739",,
,24,,P.E. 2024,,,"4,030",,,2,227,46,,"12,460",,"10,911",,"27,676",,
,,,,,,,,,,,,,,,,,,,
Navajo,21,,PPE 2024,,,"2,626",,,0,89,31,,"3,609",,"3,548",,"9,903",,
,21,,Apr-2024,,,"2,782",,,0,94,34,,"3,743",,"3,713",,"10,366",,
,21,,P.E. 2024,,,"2,979",,,1,98,44,,"3,861",,"3,930",,"10,913",,
,,,,,,,,,,,,,,,,,,,
Pima,278,,PPE 2024,,,"24,317",,,167,809,100,,"16,364",,"32,139",,"73,896",,
,278,,Apr-2024,,,"25,019",,,172,816,101,,"16,573",,"32,956",,"75,637",,
,278,,P.E. 2024,,,"30,531",,,178,933,130,,"20,136",,"36,727",,"88,635",,
,,,,,,,,,,,,,,,,,,,
Pinal,109,,PPE 2024,,,"7,350",,,0,296,81,,"9,433",,"13,245",,"30,405",,
,109,,Apr-2024,,,"9,064",,,0,294,85,,"11,567",,"16,150",,"37,160",,
,109,,P.E. 2024,,,"8,713",,,48,286,83,,"11,044",,"15,840",,"36,014",,
,,,,,,,,,,,,,,,,,,,
Santa Cruz,24,,PPE 2024,,,"1,226",,,4,17,6,,622,,"1,120",,"2,995",,
,24,,Apr-2024,,,"1,241",,,4,17,6,,635,,"1,112",,"3,015",,
,24,,P.E. 2024,,,873,,,2,11,10,,405,,745,,"2,046",,
,,,,,,,,,,,,,,,,,,,
Yavapai,57,,PPE 2024,,,"3,907",,,0,301,45,,"7,966",,"8,276",,"20,495",,
,57,,Apr-2024,,,"4,262",,,0,331,77,,"8,785",,"9,312",,"22,767",,
,57,,P.E. 2024,,,"4,567",,,3,357,135,,"9,518",,"10,222",,"24,802",,
,,,,,,,,,,,,,,,,,,,
Yuma,47,,PPE 2024,,,"3,969",,,9,157,39,,"4,889",,"7,575",,"16,638",,
,47,,Apr-2024,,,"4,025",,,9,158,42,,"4,916",,"7,571",,"16,721",,
,47,,P.E. 2024,,,"4,090",,,7,166,60,,"5,116",,"8,228",,"17,667",,
,,,,,,,,,,,,,,,,,,,
Totals:,"1,719",,PPE 2024,,,"208,917",,,854,"8,017","1,801",,"203,076",,"316,388",,"739,053",,
,"1,719",,Apr-2024,,,"219,182",,,913,"8,756","2,645",,"214,957",,"350,768",,"797,221",,
,"1,719",,P.E. 2024,,,"221,272",,,992,"8,825","2,921",,"216,913",,"353,605",,"804,528",,
,,,,,,,,,,,,,,,,,,,
Percentages:,,,PPE 2024,,,28.27,,,0.12,1.08,0.24,,27.48,,42.81,,,,
,,,Apr-2024,,,27.49,,,0.11,1.1,0.33,,26.96,,44,,,,
,,,P.E. 2024,,,27.5,,,0.12,1.1,0.36,,26.96,,43.95,,,,
,,,,,,,,,,,,,,,,,,,
Inactive,,,,,,,,,,,,,,,,,,,
District,,,,Precincts,Democratic,,,Green,,Libertarian,,No Labels,,Republican,,Other,,Total,
,,,,,,,,,,,,,,,,,,,
Congressional District 1,,,,,,,,,,,,,,,,,,,
Maricopa,,,,206,"28,453",,,132,,"1,303",,392,,"31,267",,"48,313",,"109,860",
Total:,,,,206,"28,453",,,132,,"1,303",,392,,"31,267",,"48,313",,"109,860",
,,,,,,,,,,,,,,,,,,,
Congressional District 2,,,,,,,,,,,,,,,,,,,
Apache,,,,44,"1,285",,,4,,21,,5,,835,,"1,029",,"3,179",
