"County","Muni","HINDI","ward","WardCode","VoterCount"
"BARRON COUNTY","VILLAGE OF CAMERON - BARRON COUNTY","03111","Village of Cameron - Ward 1","WD-001","492"
"BARRON COUNTY","VILLAGE OF CAMERON - BARRON COUNTY","03111","Village of Cameron - Ward 2","WD-002","147"
"BARRON COUNTY","VILLAGE OF CAMERON - BARRON COUNTY","03111","Village of Cameron - Ward 3","WD-003","340"
"BARRON COUNTY","VILLAGE OF DALLAS - BARRON COUNTY","03116","Village of Dallas - Ward 1","WD-001","203"
"BARRON COUNTY","VILLAGE OF HAUGEN - BARRON COUNTY","03136","Village of Haugen - Ward 1","WD-001","166"
"BARRON COUNTY","VILLAGE OF NEW AUBURN - MULTIPLE COUNTIES","03151","Village of New Auburn - Ward 2","WD-002","14"
"BARRON COUNTY","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","03171","Village of Prairie Farm - Ward 1","WD-001","229"
"BARRON COUNTY","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","03186","Village of Turtle Lake - Ward 1","WD-001","435"
"BARRON COUNTY","CITY OF BARRON - BARRON COUNTY","03206","City of Barron - Ward 1","WD-001","442"
"BARRON COUNTY","CITY OF BARRON - BARRON COUNTY","03206","City of Barron - Ward 2","WD-002","279"
"BARRON COUNTY","CITY OF BARRON - BARRON COUNTY","03206","City of Barron - Ward 3","WD-003","132"
"BARRON COUNTY","CITY OF BARRON - BARRON COUNTY","03206","City of Barron - Ward 4","WD-004","134"
"BARRON COUNTY","CITY OF BARRON - BARRON COUNTY","03206","City of Barron - Ward 5","WD-005","396"
"BARRON COUNTY","CITY OF BARRON - BARRON COUNTY","03206","City of Barron - Ward 6","WD-006","79"
"BARRON COUNTY","CITY OF BARRON - BARRON COUNTY","03206","City of Barron - Ward 7","WD-007","197"
"BARRON COUNTY","CITY OF CHETEK - BARRON COUNTY","03211","City of Chetek - Ward 1","WD-001","319"
"BARRON COUNTY","CITY OF CHETEK - BARRON COUNTY","03211","City of Chetek - Ward 2","WD-002","263"
"BARRON COUNTY","CITY OF CHETEK - BARRON COUNTY","03211","City of Chetek - Ward 3","WD-003","287"
"BARRON COUNTY","CITY OF CHETEK - BARRON COUNTY","03211","City of Chetek - Ward 4","WD-004","336"
"BARRON COUNTY","CITY OF CUMBERLAND - BARRON COUNTY","03212","City of Cumberland - Ward 1","WD-001","264"
"BARRON COUNTY","CITY OF CUMBERLAND - BARRON COUNTY","03212","City of Cumberland - Ward 2","WD-002","366"
"BARRON COUNTY","CITY OF CUMBERLAND - BARRON COUNTY","03212","City of Cumberland - Ward 3","WD-003","276"
"BARRON COUNTY","CITY OF CUMBERLAND - BARRON COUNTY","03212","City of Cumberland - Ward 4","WD-004","360"
"BARRON COUNTY","CITY OF CUMBERLAND - BARRON COUNTY","03212","City Of Cumberland - Ward 5","WD-005","47"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 1","WD-001","145"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 10","WD-010","397"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 11","WD-011","259"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 12","WD-012","167"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 13","WD-013","405"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City Of Rice Lake - Ward 14","WD-014","358"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City Of Rice Lake - Ward 15","WD-015","541"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City Of Rice Lake - Ward 16","WD-016","7"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City Of Rice Lake - Ward 18","WD-018","6"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 2","WD-002","239"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 3","WD-003","293"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 4","WD-004","253"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 5","WD-005","113"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 6","WD-006","371"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 7","WD-007","514"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 8","WD-008","390"
"BARRON COUNTY","CITY OF RICE LAKE - BARRON COUNTY","03276","City of Rice Lake - Ward 9","WD-009","243"
"BAYFIELD COUNTY","TOWN OF BARKSDALE - BAYFIELD COUNTY","04002","Town of Barksdale - Ward 1","WD-001","311"
"BAYFIELD COUNTY","TOWN OF BARKSDALE - BAYFIELD COUNTY","04002","Town Of Barksdale - Ward 2","WD-002","246"
"BAYFIELD COUNTY","TOWN OF BARNES - BAYFIELD COUNTY","04004","Town of Barnes - Ward 1","WD-001","761"
"BAYFIELD COUNTY","TOWN OF BAYFIELD - BAYFIELD COUNTY","04006","Town of Bayfield - Ward 1","WD-001","546"
"BAYFIELD COUNTY","TOWN OF BAYFIELD - BAYFIELD COUNTY","04006","Town Of Bayfield - Ward 2","WD-002","69"
"BAYFIELD COUNTY","TOWN OF BAYVIEW - BAYFIELD COUNTY","04008","Town of Bayview - Ward 1","WD-001","382"
"BAYFIELD COUNTY","TOWN OF BELL - BAYFIELD COUNTY","04010","Town of Bell - Ward 1","WD-001","299"
"BAYFIELD COUNTY","TOWN OF CABLE - BAYFIELD COUNTY","04012","Town of Cable - Ward 1","WD-001","678"
"BAYFIELD COUNTY","TOWN OF CLOVER - BAYFIELD COUNTY","04014","Town of Clover - Ward 1","WD-001","222"
"BAYFIELD COUNTY","TOWN OF DELTA - BAYFIELD COUNTY","04016","Town of Delta - Ward 1","WD-001","271"
"BAYFIELD COUNTY","TOWN OF DRUMMOND - BAYFIELD COUNTY","04018","Town of Drummond - Ward 1","WD-001","307"
"BAYFIELD COUNTY","TOWN OF DRUMMOND - BAYFIELD COUNTY","04018","Town Of Drummond - Ward 2","WD-002","102"
"BAYFIELD COUNTY","TOWN OF EILEEN - BAYFIELD COUNTY","04020","Town of Eileen - Ward 1","WD-001","398"
"BAYFIELD COUNTY","TOWN OF EILEEN - BAYFIELD COUNTY","04020","Town of Eileen - Ward 2","WD-002","84"
"BAYFIELD COUNTY","TOWN OF GRAND VIEW - BAYFIELD COUNTY","04021","Town of Grand View - Ward 1","WD-001","386"
"BAYFIELD COUNTY","TOWN OF HUGHES - BAYFIELD COUNTY","04022","Town of Hughes - Ward 1","WD-001","360"
"BAYFIELD COUNTY","TOWN OF IRON RIVER - BAYFIELD COUNTY","04024","Town of Iron River - Ward 1","WD-001","395"
"BAYFIELD COUNTY","TOWN OF IRON RIVER - BAYFIELD COUNTY","04024","Town of Iron River - Ward 2","WD-002","500"
"BAYFIELD COUNTY","TOWN OF KELLY - BAYFIELD COUNTY","04026","Town of Kelly - Ward 1","WD-001","286"
"BAYFIELD COUNTY","TOWN OF KEYSTONE - BAYFIELD COUNTY","04028","Town of Keystone - Ward 1","WD-001","246"
"BAYFIELD COUNTY","TOWN OF LINCOLN - BAYFIELD COUNTY","04030","Town of Lincoln - Ward 1","WD-001","206"
"BAYFIELD COUNTY","TOWN OF MASON - BAYFIELD COUNTY","04032","Town of Mason - Ward 1","WD-001","190"
"BAYFIELD COUNTY","TOWN OF NAMAKAGON - BAYFIELD COUNTY","04034","Town of Namakagon - Ward 1","WD-001","305"
"BAYFIELD COUNTY","TOWN OF ORIENTA - BAYFIELD COUNTY","04036","Town of Orienta - Ward 1","WD-001","108"
"BAYFIELD COUNTY","TOWN OF OULU - BAYFIELD COUNTY","04038","Town of Oulu - Ward 1","WD-001","414"
"BAYFIELD COUNTY","TOWN OF PILSEN - BAYFIELD COUNTY","04040","Town of Pilsen - Ward 1","WD-001","165"
"BAYFIELD COUNTY","TOWN OF PORT WING - BAYFIELD COUNTY","04042","Town of Port Wing - Ward 1","WD-001","298"
"BAYFIELD COUNTY","TOWN OF RUSSELL - BAYFIELD COUNTY","04046","Town of Russell - Ward 1","WD-001","267"
"BAYFIELD COUNTY","TOWN OF RUSSELL - BAYFIELD COUNTY","04046","Town of Russell - Ward 2","WD-002","303"
"BAYFIELD COUNTY","TOWN OF RUSSELL - BAYFIELD COUNTY","04046","Town Of Russell - Ward 3","WD-003","206"
"BAYFIELD COUNTY","TOWN OF TRIPP - BAYFIELD COUNTY","04048","Town of Tripp - Ward 1","WD-001","162"
"BAYFIELD COUNTY","TOWN OF WASHBURN - BAYFIELD COUNTY","04050","Town of Washburn - Ward 1","WD-001","280"
"BAYFIELD COUNTY","TOWN OF WASHBURN - BAYFIELD COUNTY","04050","Town Of Washburn - Ward 2","WD-002","146"
"BAYFIELD COUNTY","VILLAGE OF MASON - BAYFIELD COUNTY","04151","Village of Mason - Ward 1","WD-001","56"
"BAYFIELD COUNTY","CITY OF BAYFIELD - BAYFIELD COUNTY","04206","City of Bayfield - Ward 1","WD-001","402"
"BAYFIELD COUNTY","CITY OF WASHBURN - BAYFIELD COUNTY","04291","City of Washburn - Ward 1","WD-001","458"
"BAYFIELD COUNTY","CITY OF WASHBURN - BAYFIELD COUNTY","04291","City of Washburn - Ward 2","WD-002","180"
"BAYFIELD COUNTY","CITY OF WASHBURN - BAYFIELD COUNTY","04291","City of Washburn - Ward 3","WD-003","268"
"BAYFIELD COUNTY","CITY OF WASHBURN - BAYFIELD COUNTY","04291","City of Washburn - Ward 4","WD-004","205"
"BAYFIELD COUNTY","CITY OF WASHBURN - BAYFIELD COUNTY","04291","City Of Washburn - Ward 5","WD-005","272"
"BROWN COUNTY","TOWN OF EATON - BROWN COUNTY","05010","Town of Eaton - Ward 1","WD-001","512"
"BROWN COUNTY","TOWN OF EATON - BROWN COUNTY","05010","Town of Eaton - Ward 2","WD-002","617"
"BROWN COUNTY","TOWN OF GLENMORE - BROWN COUNTY","05012","Town of Glenmore - Ward 1","WD-001","502"
"BROWN COUNTY","TOWN OF GLENMORE - BROWN COUNTY","05012","Town of Glenmore - Ward 2","WD-002","227"
"BROWN COUNTY","TOWN OF GREEN BAY - BROWN COUNTY","05014","Town of Green Bay - Ward 1","WD-001","535"
"BROWN COUNTY","TOWN OF GREEN BAY - BROWN COUNTY","05014","Town of Green Bay - Ward 2","WD-002","581"
"BROWN COUNTY","TOWN OF GREEN BAY - BROWN COUNTY","05014","Town of Green Bay - Ward 3","WD-003","373"
"BROWN COUNTY","TOWN OF HOLLAND - BROWN COUNTY","05018","Town of Holland - Ward 1","WD-001","449"
"BROWN COUNTY","TOWN OF HOLLAND - BROWN COUNTY","05018","Town of Holland - Ward 2","WD-002","584"
"BROWN COUNTY","TOWN OF HUMBOLDT - BROWN COUNTY","05022","Town of Humboldt - Ward 1","WD-001","622"
"BROWN COUNTY","TOWN OF HUMBOLDT - BROWN COUNTY","05022","Town of Humboldt - Ward 2","WD-002","264"
"BROWN COUNTY","TOWN OF LAWRENCE - BROWN COUNTY","05024","Town of Lawrence - Ward 1","WD-001","656"
"BROWN COUNTY","TOWN OF LAWRENCE - BROWN COUNTY","05024","Town of Lawrence - Ward 2","WD-002","609"
"BROWN COUNTY","TOWN OF LAWRENCE - BROWN COUNTY","05024","Town of Lawrence - Ward 3","WD-003","415"
"BROWN COUNTY","TOWN OF LAWRENCE - BROWN COUNTY","05024","Town of Lawrence - Ward 4","WD-004","732"
"BROWN COUNTY","TOWN OF LAWRENCE - BROWN COUNTY","05024","Town of Lawrence - Ward 5","WD-005","638"
"BROWN COUNTY","TOWN OF LAWRENCE - BROWN COUNTY","05024","Town of Lawrence - Ward 6","WD-006","710"
"BROWN COUNTY","TOWN OF LAWRENCE - BROWN COUNTY","05024","Town Of Lawrence - Ward 7","WD-007","653"
"BROWN COUNTY","TOWN OF LEDGEVIEW - BROWN COUNTY","05025","Town of Ledgeview - Ward 1","WD-001","214"
"BROWN COUNTY","TOWN OF LEDGEVIEW - BROWN COUNTY","05025","Town of Ledgeview - Ward 10","WD-010","444"
