County Name,2020_Precincts,voters_2020,2020_sus,2020_nsus,2024_Precincts,voters_2024,2024_sus,2024_nsus,key_counties,ch
MCCULLOCH,9,5250,785,4465,10,5306,720,4586,,1.066666667
MCLENNAN,91,143184,20929,122255,91,153924,24962,128962,,7.500838082
MCMULLEN,6,697,58,639,4,612,0,612,,-12.19512195
MEDINA,14,32179,2704,29475,16,37092,3433,33659,,15.26772118
MENARD,6,1424,109,1315,7,1461,156,1305,,2.598314607
MIDLAND,45,86618,11936,74682,47,95340,13433,81907,,10.06950057
MILAM,11,15107,1560,13547,13,16747,1518,15229,,10.85589462
MILLS,8,3358,355,3003,8,3518,356,3162,,4.764740917
MITCHELL,6,4389,471,3918,5,4458,516,3942,,1.572112098
MONTAGUE,15,13455,1439,12016,16,15115,1403,13712,,12.33742103
MONTGOMERY,100,347703,49807,297896,114,431434,46541,384893,,24.08118423
MOORE,7,9798,1166,8632,7,9880,1129,8751,,0.836905491
MORRIS,8,8319,862,7457,8,8707,1025,7682,,4.664022118
MOTLEY,6,828,27,801,7,826,67,759,,-0.241545894
NACOGDOCHES,25,37588,5019,32569,20,38680,4926,33754,,2.905182505
NAVARRO,33,28883,3556,25327,34,31829,1729,30100,,10.19977149
NEWTON,23,9135,900,8235,24,9364,876,8488,,2.506841817
NOLAN,9,8690,1119,7571,10,8343,541,7802,,-3.993095512
NUECES,127,203661,33888,169773,130,213622,22373,191249,,4.89097078
OCHILTREE,4,5119,638,4481,5,5118,608,4510,,-0.019535065
OLDHAM,7,1384,172,1212,8,1329,153,1176,,-3.973988439
ORANGE,34,52823,6272,46551,35,54848,4634,50214,,3.833557352
PALO PINTO,30,18393,1869,16524,29,19587,2096,17491,,6.491600065
PANOLA,19,16441,1550,14891,20,17494,1780,15714,,6.404719908
PARKER,44,96775,12621,84154,45,121535,14112,107423,,25.58512012
PARMER,11,4426,268,4158,8,4458,344,4114,,0.723000452
PECOS,9,8209,726,7483,10,8232,958,7274,,0.28018029
POLK,21,38580,5158,33422,23,42845,6490,36355,,11.05495075
POTTER,25,55609,9350,46259,25,57723,9679,48044,,3.801542916
PRESIDIO,7,4752,1155,3597,8,4327,565,3762,,-8.943602694
RAINS,8,7807,846,6961,9,9009,967,8042,,15.39643909
RANDALL,22,88871,12158,76713,32,96856,12012,84844,,8.984933218
REAGAN,4,1837,198,1639,5,1804,241,1563,,-1.796407186
REAL,6,2603,230,2373,6,2614,234,2380,,0.42258932
RED RIVER,23,8249,823,7426,30,8492,910,7582,,2.945811614
REEVES,11,7386,573,6813,10,7650,780,6870,,3.574329813
REFUGIO,10,4887,551,4336,11,4820,550,4270,,-1.370984244
ROBERTS,5,707,50,657,6,709,68,641,,0.282885431
ROBERTSON,16,11552,927,10625,14,12286,1209,11077,,6.353878116
ROCKWALL,17,65780,3469,62311,27,83642,7723,75919,,27.1541502
RUNNELS,10,6871,907,5964,10,6753,239,6514,,-1.717362829
RUSK,22,31369,4007,27362,22,33292,3498,29794,,6.130255985
SABINE,10,7843,777,7066,9,8249,882,7367,,5.17659059
SAN AUGUSTINE,11,5943,556,5387,12,5915,466,5449,,-0.471142521
SAN JACINTO,11,18172,1822,16350,12,19848,1697,18151,,9.222980409
SAN PATRICIO,25,41696,5554,36142,26,43701,5363,38338,,4.808614735
SAN SABA,7,3643,393,3250,4,3728,307,3421,,2.333241834
SCHLEICHER,4,1652,208,1444,5,1732,87,1645,,4.842615012
SCURRY,11,9316,1122,8194,11,9205,1002,8203,,-1.191498497
SHACKELFORD,7,2298,251,2047,8,2339,188,2151,,1.784160139
SHELBY,14,15285,1507,13778,15,15974,1406,14568,,4.507687275
SHERMAN,7,1486,181,1305,8,1396,182,1214,,-6.056527591
SMITH,73,140178,14081,126097,76,156695,18434,138261,,11.78287606
SOMERVELL,8,6410,657,5753,4,7142,646,6496,,11.41965679
STARR,10,33487,1206,32281,15,35337,1553,33784,,5.524531908
STEPHENS,9,5531,688,4843,6,5740,743,4997,,3.778701862
STERLING,4,896,30,866,4,846,37,809,,-5.580357143
STONEWALL,4,940,14,926,4,923,0,923,,-1.808510638
SUTTON,8,2410,334,2076,5,2325,231,2094,,-3.526970954
SWISHER,8,3865,540,3325,9,3859,464,3395,,-0.155239327
TARRANT,729,1160856,161403,999453,845,1269019,145742,1123277,,9.317520864
TAYLOR,34,79737,14199,65538,35,86477,14494,71983,,8.452788542
TERRELL,4,672,47,625,5,621,16,605,,-7.589285714
TERRY,8,6472,914,5558,7,6292,473,5819,,-2.781211372
THROCKMORTON,5,1156,134,1022,6,1187,130,1057,,2.6816609
TITUS,19,17277,2123,15154,20,17598,1884,15714,,1.857961452
TOM GREEN,34,67470,11134,56336,36,69512,10261,59251,,3.02653031
TRAVIS,247,822720,120636,702084,288,890646,161563,729083,Travis (Austin),8.256271879
TRINITY,20,11213,493,10720,21,11937,585,11352,,6.456791224
TYLER,17,14080,1465,12615,18,14565,1267,13298,,3.444602273
UPSHUR,21,27709,3647,24062,20,29448,2287,27161,,6.275939226
UPTON,6,2151,254,1897,5,2060,212,1848,,-4.230590423
UVALDE,14,16950,1859,15091,14,17549,1835,15714,,3.533923304
VAL VERDE,17,28027,4264,23763,17,29028,1921,27107,,3.571556
VAN ZANDT,20,37411,4548,32863,18,40091,3511,36580,,7.16366844
VICTORIA,35,55100,7425,47675,35,56147,6075,50072,,1.900181488
WALKER,16,33769,4636,29133,17,37073,5312,31761,,9.784121532
WALLER,21,33472,4117,29355,21,40327,5114,35213,,20.47980402
WARD,8,6646,750,5896,9,6886,912,5974,,3.611194704
WASHINGTON,21,23286,2339,20947,20,24955,2157,22798,,7.167396719
WEBB,69,135124,12323,122801,79,144365,17969,126396,,6.838903526
WHARTON,12,25115,2241,22874,13,25937,955,24982,,3.272944456
WHEELER,10,3412,469,2943,5,3351,422,2929,,-1.787807737
WICHITA,59,81374,17700,63674,41,77704,10559,67145,,-4.510040062
WILBARGER,4,8277,809,7468,5,7993,656,7337,,-3.431194877
WILLACY,17,12591,2434,10157,17,11519,614,10905,,-8.514017949
WILLIAMSON,94,353476,54283,299193,164,425749,50072,375677,,20.44636694
WILSON,16,33325,3030,30295,13,37852,2772,35080,,13.5843961
WINKLER,5,3876,385,3491,6,3976,391,3585,,2.57997936
WISE,25,43002,3885,39117,29,53188,5272,47916,,23.68727036
WOOD,14,30806,3463,27343,15,34237,3605,30632,,11.13744076
YOAKUM,6,4329,418,3911,7,4252,445,3807,,-1.778701779
YOUNG,9,11625,1384,10241,9,12043,86,11957,,3.595698925
ZAPATA,7,7878,1354,6524,8,7957,629,7328,,1.002792587
ZAVALA,6,8043,739,7304,6,7756,1020,6736,,-3.568320279
