Election,HINDI,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,InPersonAbsentee,
2024 General Election,11172,VILLAGE OF POYNETTE - COLUMBIA COUNTY,206,205,123,0,18-Oct
2024 General Election,11177,VILLAGE OF RIO - COLUMBIA COUNTY,63,63,36,0,18-Oct
2024 General Election,11191,VILLAGE OF WYOCENA - COLUMBIA COUNTY,31,25,19,0,18-Oct
2024 General Election,11211,CITY OF COLUMBUS - MULTIPLE COUNTIES,573,562,305,0,18-Oct
2024 General Election,11246,CITY OF LODI - COLUMBIA COUNTY,383,382,224,0,18-Oct
2024 General Election,11271,CITY OF PORTAGE - COLUMBIA COUNTY,1155,1151,671,0,18-Oct
2024 General Election,11291,CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES,255,252,125,0,18-Oct
2024 General Election,12002,TOWN OF BRIDGEPORT - CRAWFORD COUNTY,95,87,42,0,18-Oct
2024 General Election,12004,TOWN OF CLAYTON - CRAWFORD COUNTY,67,56,12,0,18-Oct
2024 General Election,12006,TOWN OF EASTMAN - CRAWFORD COUNTY,60,58,5,0,18-Oct
2024 General Election,12008,TOWN OF FREEMAN - CRAWFORD COUNTY,101,97,66,0,18-Oct
2024 General Election,12010,TOWN OF HANEY - CRAWFORD COUNTY,23,22,12,0,18-Oct
2024 General Election,12012,TOWN OF MARIETTA - CRAWFORD COUNTY,19,16,2,0,18-Oct
2024 General Election,12014,TOWN OF PRAIRIE DU CHIEN - CRAWFORD COUNTY,66,50,0,0,18-Oct
2024 General Election,12016,TOWN OF SCOTT - CRAWFORD COUNTY,32,32,20,0,18-Oct
2024 General Election,12018,TOWN OF SENECA - CRAWFORD COUNTY,48,47,18,0,18-Oct
2024 General Election,12020,TOWN OF UTICA - CRAWFORD COUNTY,43,43,24,0,18-Oct
2024 General Election,12022,TOWN OF WAUZEKA - CRAWFORD COUNTY,24,20,5,0,18-Oct
2024 General Election,12106,VILLAGE OF BELL CENTER - CRAWFORD COUNTY,10,8,3,0,18-Oct
2024 General Election,12121,VILLAGE OF EASTMAN - CRAWFORD COUNTY,11,11,0,0,18-Oct
2024 General Election,12126,VILLAGE OF FERRYVILLE - CRAWFORD COUNTY,15,13,2,0,18-Oct
2024 General Election,12131,VILLAGE OF GAYS MILLS - CRAWFORD COUNTY,40,40,20,0,18-Oct
2024 General Election,12146,VILLAGE OF LYNXVILLE - CRAWFORD COUNTY,5,5,2,0,18-Oct
2024 General Election,12151,VILLAGE OF MT. STERLING - CRAWFORD COUNTY,3,0,0,,18-Oct
2024 General Election,12181,VILLAGE OF SOLDIERS GROVE - CRAWFORD COUNTY,34,32,16,0,18-Oct
2024 General Election,12182,VILLAGE OF STEUBEN - CRAWFORD COUNTY,7,7,3,0,18-Oct
2024 General Election,12191,VILLAGE OF WAUZEKA - CRAWFORD COUNTY,15,1,0,0,18-Oct
2024 General Election,12271,CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY,436,433,249,0,18-Oct
2024 General Election,13002,TOWN OF ALBION - DANE COUNTY,150,148,59,0,18-Oct
2024 General Election,13004,TOWN OF BERRY - DANE COUNTY,117,116,51,0,18-Oct
2024 General Election,13006,TOWN OF BLACK EARTH - DANE COUNTY,71,71,34,0,18-Oct
2024 General Election,13008,TOWN OF BLOOMING GROVE - DANE COUNTY,199,199,119,0,18-Oct
2024 General Election,13010,TOWN OF BLUE MOUNDS - DANE COUNTY,98,98,62,0,18-Oct
2024 General Election,13012,TOWN OF BRISTOL - DANE COUNTY,630,626,302,0,18-Oct
2024 General Election,13014,TOWN OF BURKE - DANE COUNTY,407,407,207,0,18-Oct
2024 General Election,13016,TOWN OF CHRISTIANA - DANE COUNTY,82,73,22,0,18-Oct
2024 General Election,13018,TOWN OF COTTAGE GROVE - DANE COUNTY,540,538,281,0,18-Oct
2024 General Election,13020,TOWN OF CROSS PLAINS - DANE COUNTY,219,219,106,0,18-Oct
2024 General Election,13022,TOWN OF DANE - DANE COUNTY,78,77,45,0,18-Oct
2024 General Election,13024,TOWN OF DEERFIELD - DANE COUNTY,237,232,99,0,18-Oct
2024 General Election,13026,TOWN OF DUNKIRK - DANE COUNTY,177,176,98,0,18-Oct
2024 General Election,13028,TOWN OF DUNN - DANE COUNTY,612,610,319,0,18-Oct
2024 General Election,13034,TOWN OF MAZOMANIE - DANE COUNTY,97,96,59,0,18-Oct
2024 General Election,13036,TOWN OF MEDINA - DANE COUNTY,154,153,80,0,18-Oct
2024 General Election,13038,TOWN OF MIDDLETON - DANE COUNTY,1543,1533,823,0,18-Oct
2024 General Election,13040,TOWN OF MONTROSE - DANE COUNTY,94,94,37,0,18-Oct
2024 General Election,13042,TOWN OF OREGON - DANE COUNTY,540,538,291,0,18-Oct
2024 General Election,13044,TOWN OF PERRY - DANE COUNTY,91,91,51,0,18-Oct
2024 General Election,13046,TOWN OF PLEASANT SPRINGS - DANE COUNTY,406,404,216,0,18-Oct
