"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","11034","TOWN OF RANDOLPH - COLUMBIA COUNTY","30","30","2","0"
"2024 General Election","11036","TOWN OF SCOTT - COLUMBIA COUNTY","18","18","0","0"
"2024 General Election","11038","TOWN OF SPRINGVALE - COLUMBIA COUNTY","26","26","10","0"
"2024 General Election","11040","TOWN OF WEST POINT - COLUMBIA COUNTY","175","175","18","0"
"2024 General Election","11042","TOWN OF WYOCENA - COLUMBIA COUNTY","116","113","0","0"
"2024 General Election","11101","VILLAGE OF ARLINGTON - COLUMBIA COUNTY","33","30","1","0"
"2024 General Election","11111","VILLAGE OF CAMBRIA - COLUMBIA COUNTY","30","30","1","0"
"2024 General Election","11116","VILLAGE OF DOYLESTOWN - COLUMBIA COUNTY","9","9","0","0"
"2024 General Election","11126","VILLAGE OF FALL RIVER - COLUMBIA COUNTY","74","74","3","0"
"2024 General Election","11127","VILLAGE OF FRIESLAND - COLUMBIA COUNTY","10","9","1","0"
"2024 General Election","11171","VILLAGE OF PARDEEVILLE - COLUMBIA COUNTY","65","64","3","0"
"2024 General Election","11172","VILLAGE OF POYNETTE - COLUMBIA COUNTY","158","157","22","0"
"2024 General Election","11177","VILLAGE OF RIO - COLUMBIA COUNTY","46","46","1","0"
"2024 General Election","11191","VILLAGE OF WYOCENA - COLUMBIA COUNTY","27","19","2","0"
"2024 General Election","11211","CITY OF COLUMBUS - MULTIPLE COUNTIES","397","394","12","0"
"2024 General Election","11246","CITY OF LODI - COLUMBIA COUNTY","276","254","20","0"
"2024 General Election","11271","CITY OF PORTAGE - COLUMBIA COUNTY","851","802","73","0"
"2024 General Election","11291","CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES","169","159","5","0"
"2024 General Election","12002","TOWN OF BRIDGEPORT - CRAWFORD COUNTY","62","62","0","0"
"2024 General Election","12004","TOWN OF CLAYTON - CRAWFORD COUNTY","41","0","0",""
"2024 General Election","12006","TOWN OF EASTMAN - CRAWFORD COUNTY","30","0","0",""
"2024 General Election","12008","TOWN OF FREEMAN - CRAWFORD COUNTY","72","65","0","0"
