"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","45241","CITY OF KAUKAUNA - MULTIPLE COUNTIES","1408","1406","301","0"
"2024 General Election","45281","CITY OF SEYMOUR - OUTAGAMIE COUNTY","156","155","25","0"
"2024 General Election","46002","TOWN OF BELGIUM - OZAUKEE COUNTY","120","119","11","0"
"2024 General Election","46004","TOWN OF CEDARBURG - OZAUKEE COUNTY","613","610","126","0"
"2024 General Election","46006","TOWN OF FREDONIA - OZAUKEE COUNTY","97","96","13","0"
"2024 General Election","46008","TOWN OF GRAFTON - OZAUKEE COUNTY","407","406","72","0"
"2024 General Election","46012","TOWN OF PORT WASHINGTON - OZAUKEE COUNTY","113","112","23","0"
"2024 General Election","46014","TOWN OF SAUKVILLE - OZAUKEE COUNTY","122","122","13","0"
"2024 General Election","46106","VILLAGE OF BELGIUM - OZAUKEE COUNTY","154","151","22","0"
"2024 General Election","46126","VILLAGE OF FREDONIA - OZAUKEE COUNTY","93","85","17","0"
"2024 General Election","46131","VILLAGE OF GRAFTON - OZAUKEE COUNTY","1275","1137","258","0"
"2024 General Election","46181","VILLAGE OF SAUKVILLE - OZAUKEE COUNTY","258","251","50","0"
"2024 General Election","46186","VILLAGE OF THIENSVILLE - OZAUKEE COUNTY","306","279","34","0"
"2024 General Election","46211","CITY OF CEDARBURG - OZAUKEE COUNTY","1358","1187","260","0"
"2024 General Election","46255","CITY OF MEQUON - OZAUKEE COUNTY","3445","3233","731","0"
"2024 General Election","46271","CITY OF PORT WASHINGTON - OZAUKEE COUNTY","1105","984","237","0"
"2024 General Election","47002","TOWN OF ALBANY - PEPIN COUNTY","11","11","0","0"
"2024 General Election","47004","TOWN OF DURAND - PEPIN COUNTY","25","25","4","0"
"2024 General Election","47006","TOWN OF FRANKFORT - PEPIN COUNTY","9","9","1","0"
"2024 General Election","47008","TOWN OF LIMA - PEPIN COUNTY","29","29","11","0"
"2024 General Election","47010","TOWN OF PEPIN - PEPIN COUNTY","60","53","11","0"
"2024 General Election","47012","TOWN OF STOCKHOLM - PEPIN COUNTY","18","17","4","0"
"2024 General Election","47014","TOWN OF WATERVILLE - PEPIN COUNTY","21","20","3","0"
"2024 General Election","47016","TOWN OF WAUBEEK - PEPIN COUNTY","20","19","0","0"
